"names","Formula","aicc","k","logL","delta.aic"
"model2178","Surv(Erad_Time, Event) ~ dist + area + SS + public + private + maori + privNumb + maoriNumb + area:privNumb + public:private:maori","791.89794368549","25","-365.870846842745","56.3602580260351"
"model910","Surv(Erad_Time, Event) ~ area + public + private + maori + privNumb + area:privNumb","791.903208294348","12","-382.845221168451","56.3655226348936"
"model2045","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + maoriNumb","791.907228146944","13","-381.653614073472","56.369542487489"
"model926","Surv(Erad_Time, Event) ~ area + public + private + privNumb + maoriNumb + public:private","791.971729960194","12","-382.879482001374","56.4340443007392"
"model2047","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + maoriNumb + public:private","792.033763727934","14","-380.506090497061","56.4960780684796"
"model934","Surv(Erad_Time, Event) ~ area + private + maori + privNumb + maoriNumb + private:maori","792.080646323942","12","-382.933940183248","56.5429606644869"
"model1533","Surv(Erad_Time, Event) ~ area + landing + public + private + privNumb + maoriNumb + area:privNumb","792.168404351817","15","-379.345071741126","56.6307186923625"
"model902","Surv(Erad_Time, Event) ~ area + landing + private + maori + privNumb + area:privNumb + private:maori","792.210588411613","13","-381.805294205807","56.6729027521585"
"model417","Surv(Erad_Time, Event) ~ area + private + maori + privNumb + area:privNumb","792.21721210301","11","-384.179028586716","56.6795264435547"
"model1342","Surv(Erad_Time, Event) ~ dist + landing + public + private + maori + privNumb + public:private:maori","792.265039816216","18","-375.599186574774","56.7273541567608"
"model1538","Surv(Erad_Time, Event) ~ area + landing + public + maori + privNumb + maoriNumb + public:maori","792.269186925833","13","-381.834593462917","56.7315012663786"
"model2049","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + maoriNumb + private:maori","792.287610540744","14","-380.633013903465","56.7499248812888"
"model1542","Surv(Erad_Time, Event) ~ area + landing + private + maori + privNumb + maoriNumb + private:maori","792.296273661807","13","-381.848136830903","56.758588002352"
"model915","Surv(Erad_Time, Event) ~ area + public + private + maori + privNumb + area:privNumb + public:private","792.45110219532","13","-381.92555109766","56.9134165358652"
"model912","Surv(Erad_Time, Event) ~ area + public + private + maori + privNumb + public:maori","792.452799045693","10","-385.457168753616","56.9151133862384"
"model1523","Surv(Erad_Time, Event) ~ area + landing + public + private + maori + privNumb + area:privNumb + public:private","792.479443864349","14","-380.728930565268","56.9417582048937"
"model913","Surv(Erad_Time, Event) ~ area + public + private + maori + privNumb + private:maori","792.483758908675","10","-385.472648685107","56.94607324922"
"model1537","Surv(Erad_Time, Event) ~ area + landing + public + maori + privNumb + maoriNumb + area:privNumb","792.509544153346","15","-379.51564164189","56.9718584938913"
"model1634","Surv(Erad_Time, Event) ~ landing + public + private + maori + privNumb + maoriNumb + public:maori","792.638721570208","13","-382.019360785104","57.101035910753"
